Exempelfil -Betalningsunderlag (till Bankgirot)



0120080611AUTOGIRO                                            4711170009902346  
82200806120    00000000000001010000000750000009902346ÅRSKORT-2008                          
82200806120    00000000000001020000000250500009902346KVARTAL-2008
82200806305006 00000000000001030000001100000009902346MÅNAD-2008
82200806306003 00000000022221010000005000250009902346KVARTAL-2008
82GENAST  0    00000000033310220000000350000009902346KUNDNR5
32200806120    00000000077710140000000125000009902346UTBETALN
32200806120    00000000000001040000000325000009902346UTBETALN
32200806120    00000000000001050000000030000009902346UTBETALN1
32200806120    00000000055510040000000030000009902346UTBETALN2

